
INSERT_UPDATE ItemPlacement;$product[unique=true];$page[unique=true];pagePos[unique=true];pageNumber[default='-1'];gridElementId;$layoutTemplate[default='Electronics_3Prod_portrait'];$placeholderTemplate[default='ProductDefault'];$publication[unique=true];

### rechargeablebatteries / 814
;360308;rechargeablebatteries;0;;1;
;450848;rechargeablebatteries;1;;2;
;482105;rechargeablebatteries;2;;3;
;560583;rechargeablebatteries;3;;1;
;572473;rechargeablebatteries;4;;2;
;805693;rechargeablebatteries;5;;3;
;824259;rechargeablebatteries;6;;1;
;824267;rechargeablebatteries;7;;2;
;1231346;rechargeablebatteries;8;;3;
;1232590;rechargeablebatteries;9;;1;
;1422218;rechargeablebatteries;10;;2;
;1451546;rechargeablebatteries;11;;3;
;1451563;rechargeablebatteries;12;;1;
;2114091;rechargeablebatteries;13;;2;
;2867992;rechargeablebatteries;14;;3;
;2894920;rechargeablebatteries;15;;1;
;2913966;rechargeablebatteries;16;;2;
;3965240;rechargeablebatteries;17;;3;
;4608858;rechargeablebatteries;18;;1;
;5103712;rechargeablebatteries;19;;2;

### poweradapters_inverters / 827
;107701;poweradapters_inverters;0;;1;
;110561;poweradapters_inverters;1;;2;
;266899;poweradapters_inverters;2;;3;
;346944;poweradapters_inverters;3;;1;
;514518;poweradapters_inverters;4;;2;
;594471;poweradapters_inverters;5;;3;
;899387;poweradapters_inverters;6;;1;
;1422222;poweradapters_inverters;7;;2;
;1422224;poweradapters_inverters;8;;3;
;2861342;poweradapters_inverters;9;;1;

### batterychargers / 829
;278688;batterychargers;0;;1;
;325234;batterychargers;1;;2;
;847942;batterychargers;2;;3;
;1298094;batterychargers;3;;1;
;1312564;batterychargers;4;;2;
;1312640;batterychargers;5;;3;
;4769104;batterychargers;6;;1;
;4769626;batterychargers;7;;2;
;5103775;batterychargers;8;;3;

### flashmemory / 902
;328796;flashmemory;0;;1;
;335443;flashmemory;1;;2;
;335546;flashmemory;2;;3;
;443175;flashmemory;3;;1;
;479956;flashmemory;4;;2;
;695824;flashmemory;5;;3;
;872912;flashmemory;6;;1;
;897853;flashmemory;7;;2;
;1322031;flashmemory;8;;3;
;1322041;flashmemory;9;;1;
;1366001;flashmemory;10;;2;
;1366053;flashmemory;11;;3;
;1641905;flashmemory;12;;1;
;2336001;flashmemory;13;;2;
;2336002;flashmemory;14;;3;
;2336004;flashmemory;15;;1;
;2938457;flashmemory;16;;2;
;2938458;flashmemory;17;;3;
;4205431;flashmemory;18;;1;
;4205436;flashmemory;19;;2;
;4786113;flashmemory;20;;3;
;4787985;flashmemory;21;;1;
;4787986;flashmemory;22;;2;
