INSERT_UPDATE Page;code[unique=true];masterPage(code);gridId;gridMode(code)[default='DYNAMIC'];placementMode(code)[default='GRID'];pageMode(code)[default='SEQUENCE'];alignment(code)[default='AUTO'];$chapter;chapterPOS;fileName;filePath;documentTemplate;$publication[unique=true];
;rechargeablebatteries_intro;C-Cover;5;;;;RIGHT;powersupplies;0;
;rechargeablebatteries;B-Electronics;7;;;;;powersupplies;1;
;poweradapters_inverters;B-Electronics;7;;;;;powersupplies;2;
;batterychargers;B-Electronics;7;;;;;powersupplies;3;

;flashmemory;B-Electronics;7;;;;RIGHT;datastorage;0;

;filmcameras;B-Electronics;7;;;;RIGHT;filmcameras;0;

;digitalcompacts;B-Electronics;7;;;;;digitalcameras;0;
;digitalslr;B-Electronics;7;;;;;digitalcameras;1;

;webcams;A-Electronics;8;;;;;webcams;0;

;hand-heldcamcorders;A-Electronics;8;;;;;hand-heldcamcorders;0;

;cameraflashes;A-Electronics;8;;;;;cameraaccessories_supplies;0;
;tripods;A-Electronics;8;;;;;cameraaccessories_supplies;1;
;cameralenses;A-Electronics;8;;;;;cameraaccessories_supplies;2;
;colourfilms;A-Electronics;8;;;;;cameraaccessories_supplies;3;
;black_whitefilms;A-Electronics;8;;;;;cameraaccessories_supplies;4;
;blankvideotapes;A-Electronics;8;;;;;cameraaccessories_supplies;5;
;cameracables;A-Electronics;8;;;;;cameraaccessories_supplies;6;
;fixatives;A-Electronics;8;;;;;cameraaccessories_supplies;7;
;camerakits;A-Electronics;8;;;;;cameraaccessories_supplies;8;

;binoculars;B-Electronics;7;;;;RIGHT;binoculars;0;
