#**************************************************************
# This impex file fixes some HTML2TaggedTextTranslation issues caused by <br> tags which are impolerted as <br /> here

$lang=en

UPDATE Product;code[unique=true];$catalogVersion[unique=true];name[lang=$lang];summary[lang=$lang];description[lang=$lang];ApparelStyleVariantProduct.style[lang=$lang];ApparelSizeVariantProduct.size[lang=$lang]
 ;300076933;;Sneakers Vans Old Skool black/white 4.5;Classic Vans Old Skool in a black colourway.;Features:<br /><br />+ suede an canvas upper with classic action stripe<br />+ double-stitch construction with contrast detail<br />+ die-cut EVA insert;black/white;4.5 US ;;
 ;300076934;;Sneakers Vans Old Skool black/white 5.0;Classic Vans Old Skool in a black colourway.;Features:<br /><br />+ suede an canvas upper with classic action stripe<br />+ double-stitch construction with contrast detail<br />+ die-cut EVA insert;black/white;5.0 US ;;
 ;300076935;;Sneakers Vans Old Skool black/white 6.0;Classic Vans Old Skool in a black colourway.;Features:<br /><br />+ suede an canvas upper with classic action stripe<br />+ double-stitch construction with contrast detail<br />+ die-cut EVA insert;black/white;6.0 US ;;
 ;300076936;;Sneakers Vans Old Skool black/white 7.5;Classic Vans Old Skool in a black colourway.;Features:<br /><br />+ suede an canvas upper with classic action stripe<br />+ double-stitch construction with contrast detail<br />+ die-cut EVA insert;black/white;7.5 US ;;
 ;300310070;;Bag Dakine 101 Pack wrap;Classical allround back pack from Dakine with laptop compartment.;Features:<br /><br />+ 2 large double-zippered main compartments<br />+ back main compartment suitable for a DIN A4 folder;;;;
 ;300310086;;Bag Dakine Factor Pack bomber;Functional like no other bag!;Features: <br /><br /> + padded sleeve fits most 14 laptops <br /> + organizer pocket <br /> + fleece lined sunglass pocket <br /> + mesh side pockets <br /> + volume: 20l <br /> + dimensions: 44x30x16 cm <br /> + 100% polyester;;;;
 ;300310163;;Bag Dakine Point Pack bomber;The point pack by Dakine comes with a seam sealed wetsuit pocket so you always have a place for wet or dirty gear. <br /><br /> ;;;;;
 ;300310180;;Bag Dakine Sunglass Case black patches;"Soft lined sunglass case.;Features:<br /><br />+ Zippered closure<br />+ Faux fur lined interior<br />+ Measures (in cm): 175 x 9 x 7 inside: 155 x 8 x 6<br />+ Material: fleece lined;600D Polyester";;;
 ;45573;;Snowboard Ski Tool Toko Scraper Sharpener World Cup;Plexiblade sharpener for 3 4 5 and 6 mm (1/8? 3/16? 5/32? and 1/4?) blade width. With ceramic disc.<br />Level: Ambitious;;;;;
 ;M28323;;Sneakers Vans Old Skool;Classic Vans Old Skool in a black colourway.;Features:<br /><br />+ suede an canvas upper with classic action stripe<br />+ double-stitch construction with contrast detail;one;;;
 ;M28323_B;;Sneakers Vans Old Skool;Classic Vans Old Skool in a black colourway.;Features:<br /><br />+ suede an canvas upper with classic action stripe<br />;;;;
 ;M28324;;Slip On Vans Classic Slip on;The classic Vans Slip-on is a shoe that never goes out of style.;Features:<br /><br />+ canvas upper<br />+ vulcanized waffle rubber outsole;white;;;
 ;M28324_B;;Slip On Vans Classic Slip on;The classic Vans Slip-on is a shoe that never goes out of style.;Features:<br /><br />+ canvas upper<br />+ vulcanized waffle rubber outsole;;;;
 ;M32946;;Protector Dainese Shield 8 Evo;DAINESE SHIELD 8 EVO<br />  ergonomic back protector<br />  <br />  FEATURES:<br />  + 8-plate Shield back protector<br />  + soft paddings<br />  + ultra-breathable Bubble internal fabric<br />  + lumbar belt with double strap<br />  + removeable braces;;one;;;
 ;M32946_B;;Protector Dainese Shield 8 Evo;DAINESE SHIELD 8 EVO<br />  ergonomic back protector<br />  <br />  FEATURES:<br />  + 8-plate Shield back protector<br />  + soft paddings<br />  + ultra-breathable Bubble internal fabric<br />  + lumbar belt with double strap<br />  + removeable braces;;;;;
 ;M33307;;Snowboard Binding F2-FTWO Mondo LT;Beginners and occasional riders will find the Mondo LT to be an extremly robust and high quality binding.;Features:<br />+Fiber-reinforced unibase plate<br />+ toolless adjustment of ankle strap<br />+ Torsion-flexible highback<br />+ EVA heel pad;one;;;
 ;M33307_B;;Snowboard Binding F2-FTWO Mondo LT;Beginners and occasional riders will find the Mondo LT to be an extremly robust and high quality binding.;Features:<br />+Fiber-reinforced unibase plate<br />+ toolless adjustment of ankle strap<br />+ Torsion-flexible highback<br />+ EVA heel pad;;;;
 ;M35392;;Slip On Vans Classic Slip on;The classic Vans Slip-on is a shoe that never goes out of style.;Features:<br /><br />+ canvas upper<br />+ vulcanized waffle rubber outsole;black;;;

 ;29867;;Wayne Lynch 6.3;<p>For delivery-costs outside EU please contact our customerservice at: info@blue-tomato.at <br /><br />6,6 x 11 1/4 x 19 1/2 x 14 1/4 x 2 9/16</p>;<p>Wayne Lynch is one of the primary pioneers of the 70s shortboard revolution. This "fun" range is a development from his performance range. Slighty wider with a touch more volume with slighty softer curves. But boy do they have power!! Tuflite contruction, Round Pin Tail </p><p><br />Information about shipping costs:</p><p>For the shipment of surfboards within the European Union we have to add 40 EUR shipping costs, outside the European Union 80 EUR have to be added.<br />The shipment will be done by DHL including transport incurance.<br />After ordering your surfboard, you will be contacted by our customer service concerning the shipping costs.</p>;;;;
